GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_ABR,HOME_TEAM_PTS,VISITOR_TEAM_ID,VISITOR_TEAM_ABR,VISITOR_TEAM_PTS
0022100001,10/19/2021,1610612749,MIL,127,1610612751,BKN,104
0022100002,10/19/2021,1610612747,LAL,114,1610612744,GSW,121
0022100003,10/20/2021,1610612766,CHA,123,1610612754,IND,122
0022100004,10/20/2021,1610612765,DET,88,1610612741,CHI,94
0022100005,10/20/2021,1610612752,NYK,138,1610612738,BOS,134
0022100006,10/20/2021,1610612761,TOR,83,1610612764,WAS,98
0022100007,10/20/2021,1610612763,MEM,132,1610612739,CLE,121
0022100008,10/20/2021,1610612750,MIN,124,1610612745,HOU,106
0022100009,10/20/2021,1610612740,NOP,97,1610612755,PHI,117
0022100010,10/20/2021,1610612759,SAS,123,1610612753,ORL,97
0022100011,10/20/2021,1610612762,UTA,107,1610612760,OKC,86
0022100012,10/20/2021,1610612756,PHX,98,1610612743,DEN,110
0022100013,10/20/2021,1610612757,POR,121,1610612758,SAC,124
0022100014,10/21/2021,1610612737,ATL,113,1610612742,DAL,87
0022100015,10/21/2021,1610612748,MIA,137,1610612749,MIL,95
0022100016,10/21/2021,1610612744,GSW,115,1610612746,LAC,113
0022100017,10/22/2021,1610612739,CLE,112,1610612766,CHA,123
0022100018,10/22/2021,1610612753,ORL,96,1610612752,NYK,121
0022100019,10/22/2021,1610612764,WAS,135,1610612754,IND,134
0022100020,10/22/2021,1610612738,BOS,83,1610612761,TOR,115
0022100021,10/22/2021,1610612755,PHI,109,1610612751,BKN,114
0022100022,10/22/2021,1610612741,CHI,128,1610612740,NOP,112
0022100023,10/22/2021,1610612745,HOU,124,1610612760,OKC,91
0022100024,10/22/2021,1610612743,DEN,102,1610612759,SAS,96
0022100025,10/22/2021,1610612747,LAL,105,1610612756,PHX,115
0022100026,10/22/2021,1610612758,SAC,101,1610612762,UTA,110
0022100027,10/23/2021,1610612739,CLE,101,1610612737,ATL,95
0022100028,10/23/2021,1610612754,IND,102,1610612748,MIA,91
0022100029,10/23/2021,1610612761,TOR,95,1610612742,DAL,103
0022100030,10/23/2021,1610612741,CHI,97,1610612765,DET,82
0022100031,10/23/2021,1610612750,MIN,96,1610612740,NOP,89
0022100032,10/23/2021,1610612759,SAS,111,1610612749,MIL,121
0022100033,10/23/2021,1610612757,POR,134,1610612756,PHX,105
0022100034,10/23/2021,1610612746,LAC,114,1610612763,MEM,120
0022100035,10/24/2021,1610612751,BKN,95,1610612766,CHA,111
0022100036,10/24/2021,1610612752,NYK,104,1610612753,ORL,110
0022100037,10/24/2021,1610612745,HOU,97,1610612738,BOS,107
0022100038,10/24/2021,1610612760,OKC,103,1610612755,PHI,115
0022100039,10/24/2021,1610612758,SAC,107,1610612744,GSW,119
0022100040,10/24/2021,1610612747,LAL,121,1610612763,MEM,118
0022100041,10/25/2021,1610612766,CHA,129,1610612738,BOS,140
0022100042,10/25/2021,1610612754,IND,109,1610612749,MIL,119
0022100043,10/25/2021,1610612737,ATL,122,1610612765,DET,104
0022100044,10/25/2021,1610612751,BKN,104,1610612764,WAS,90
0022100045,10/25/2021,1610612748,MIA,107,1610612753,ORL,90
0022100046,10/25/2021,1610612761,TOR,108,1610612741,CHI,111
0022100047,10/25/2021,1610612750,MIN,98,1610612740,NOP,107
0022100048,10/25/2021,1610612743,DEN,87,1610612739,CLE,99
0022100049,10/25/2021,1610612746,LAC,116,1610612757,POR,86
0022100050,10/26/2021,1610612752,NYK,112,1610612755,PHI,99
0022100051,10/26/2021,1610612760,OKC,98,1610612744,GSW,106
0022100052,10/26/2021,1610612742,DAL,116,1610612745,HOU,106
0022100053,10/26/2021,1610612759,SAS,121,1610612747,LAL,125
0022100054,10/26/2021,1610612762,UTA,122,1610612743,DEN,110
0022100055,10/27/2021,1610612753,ORL,111,1610612766,CHA,120
0022100056,10/27/2021,1610612738,BOS,107,1610612764,WAS,116
0022100057,10/27/2021,1610612751,BKN,93,1610612748,MIA,106
0022100058,10/27/2021,1610612761,TOR,118,1610612754,IND,100
0022100059,10/27/2021,1610612740,NOP,99,1610612737,ATL,102
0022100060,10/27/2021,1610612749,MIL,108,1610612750,MIN,113
0022100061,10/27/2021,1610612760,OKC,123,1610612747,LAL,115
0022100062,10/27/2021,1610612756,PHX,107,1610612758,SAC,110
0022100063,10/27/2021,1610612757,POR,116,1610612763,MEM,96
0022100064,10/27/2021,1610612746,LAC,79,1610612739,CLE,92
0022100065,10/28/2021,1610612755,PHI,110,1610612765,DET,102
0022100066,10/28/2021,1610612764,WAS,122,1610612737,ATL,111
0022100067,10/28/2021,1610612741,CHI,103,1610612752,NYK,104
0022100068,10/28/2021,1610612745,HOU,91,1610612762,UTA,122
0022100069,10/28/2021,1610612742,DAL,104,1610612759,SAS,99
0022100070,10/28/2021,1610612744,GSW,101,1610612763,MEM,104
0022100071,10/29/2021,1610612761,TOR,110,1610612753,ORL,109
0022100072,10/29/2021,1610612751,BKN,105,1610612754,IND,98
0022100073,10/29/2021,1610612748,MIA,114,1610612766,CHA,99
0022100074,10/29/2021,1610612740,NOP,109,1610612758,SAC,113
0022100075,10/29/2021,1610612743,DEN,106,1610612742,DAL,75
0022100076,10/29/2021,1610612757,POR,111,1610612746,LAC,92
0022100077,10/29/2021,1610612747,LAL,113,1610612739,CLE,101
0022100078,10/30/2021,1610612764,WAS,115,1610612738,BOS,112
0022100079,10/30/2021,1610612765,DET,110,1610612753,ORL,103
0022100080,10/30/2021,1610612740,NOP,117,1610612752,NYK,123
0022100081,10/30/2021,1610612754,IND,94,1610612761,TOR,97
0022100082,10/30/2021,1610612755,PHI,122,1610612737,ATL,94
0022100083,10/30/2021,1610612741,CHI,107,1610612762,UTA,99
0022100084,10/30/2021,1610612763,MEM,103,1610612748,MIA,129
0022100085,10/30/2021,1610612749,MIL,93,1610612759,SAS,102
0022100086,10/30/2021,1610612744,GSW,103,1610612760,OKC,82
0022100087,10/30/2021,1610612750,MIN,91,1610612743,DEN,93
0022100088,10/30/2021,1610612756,PHX,101,1610612739,CLE,92
0022100089,10/31/2021,1610612742,DAL,105,1610612758,SAC,99
0022100090,10/31/2021,1610612766,CHA,125,1610612757,POR,113
0022100091,10/31/2021,1610612749,MIL,95,1610612762,UTA,107
0022100092,10/31/2021,1610612751,BKN,117,1610612765,DET,91
0022100093,10/31/2021,1610612747,LAL,95,1610612745,HOU,85
0022100094,11/01/2021,1610612766,CHA,110,1610612739,CLE,113
0022100095,11/01/2021,1610612754,IND,131,1610612759,SAS,118
0022100096,11/01/2021,1610612755,PHI,113,1610612757,POR,103
0022100097,11/01/2021,1610612737,ATL,118,1610612764,WAS,111
0022100098,11/01/2021,1610612738,BOS,114,1610612741,CHI,128
0022100099,11/01/2021,1610612752,NYK,104,1610612761,TOR,113
0022100100,11/01/2021,1610612763,MEM,106,1610612743,DEN,97
0022100101,11/01/2021,1610612750,MIN,97,1610612753,ORL,115
0022100102,11/01/2021,1610612746,LAC,99,1610612760,OKC,94
0022100103,11/02/2021,1610612765,DET,89,1610612749,MIL,117
0022100104,11/02/2021,1610612742,DAL,110,1610612748,MIA,125
0022100105,11/02/2021,1610612762,UTA,119,1610612758,SAC,113
0022100106,11/02/2021,1610612756,PHX,112,1610612740,NOP,100
0022100107,11/02/2021,1610612747,LAL,119,1610612745,HOU,117
0022100108,11/03/2021,1610612739,CLE,107,1610612757,POR,104
0022100109,11/03/2021,1610612754,IND,111,1610612752,NYK,98
0022100110,11/03/2021,1610612753,ORL,79,1610612738,BOS,92
0022100111,11/03/2021,1610612755,PHI,103,1610612741,CHI,98
0022100112,11/03/2021,1610612764,WAS,100,1610612761,TOR,109
0022100113,11/03/2021,1610612751,BKN,117,1610612737,ATL,108
0022100114,11/03/2021,1610612763,MEM,108,1610612743,DEN,106
0022100115,11/03/2021,1610612750,MIN,115,1610612746,LAC,126
0022100116,11/03/2021,1610612759,SAS,108,1610612742,DAL,109
0022100117,11/03/2021,1610612744,GSW,114,1610612766,CHA,92
0022100118,11/03/2021,1610612758,SAC,112,1610612740,NOP,99
0022100119,11/04/2021,1610612765,DET,98,1610612755,PHI,109
0022100120,11/04/2021,1610612737,ATL,98,1610612762,UTA,116
0022100121,11/04/2021,1610612748,MIA,78,1610612738,BOS,95
0022100122,11/04/2021,1610612756,PHX,123,1610612745,HOU,111
0022100123,11/04/2021,1610612747,LAL,104,1610612760,OKC,107
0022100124,11/05/2021,1610612765,DET,90,1610612751,BKN,96
0022100125,11/05/2021,1610612753,ORL,89,1610612759,SAS,102
0022100126,11/05/2021,1610612764,WAS,115,1610612763,MEM,87
0022100127,11/05/2021,1610612761,TOR,101,1610612739,CLE,102
0022100128,11/05/2021,1610612749,MIL,98,1610612752,NYK,113
0022100129,11/05/2021,1610612750,MIN,84,1610612746,LAC,104
0022100130,11/05/2021,1610612744,GSW,126,1610612740,NOP,85
0022100131,11/05/2021,1610612757,POR,110,1610612754,IND,106
0022100132,11/05/2021,1610612758,SAC,140,1610612766,CHA,110
0022100133,11/06/2021,1610612743,DEN,95,1610612745,HOU,94
0022100134,11/06/2021,1610612748,MIA,118,1610612762,UTA,115
0022100135,11/06/2021,1610612741,CHI,105,1610612755,PHI,114
0022100136,11/06/2021,1610612742,DAL,107,1610612738,BOS,104
0022100137,11/06/2021,1610612756,PHX,121,1610612737,ATL,117
0022100138,11/06/2021,1610612757,POR,105,1610612747,LAL,90
0022100139,11/07/2021,1610612761,TOR,103,1610612751,BKN,116
0022100140,11/07/2021,1610612752,NYK,109,1610612739,CLE,126
0022100141,11/07/2021,1610612753,ORL,107,1610612762,UTA,100
0022100142,11/07/2021,1610612764,WAS,101,1610612749,MIL,94
0022100143,11/07/2021,1610612758,SAC,91,1610612754,IND,94
0022100144,11/07/2021,1610612760,OKC,99,1610612759,SAS,94
0022100145,11/07/2021,1610612744,GSW,120,1610612745,HOU,107
0022100146,11/07/2021,1610612746,LAC,120,1610612766,CHA,106
0022100147,11/08/2021,1610612755,PHI,96,1610612752,NYK,103
0022100148,11/08/2021,1610612741,CHI,118,1610612751,BKN,95
0022100149,11/08/2021,1610612763,MEM,125,1610612750,MIN,118
0022100150,11/08/2021,1610612742,DAL,108,1610612740,NOP,92
0022100151,11/08/2021,1610612743,DEN,113,1610612748,MIA,96
0022100152,11/08/2021,1610612744,GSW,127,1610612737,ATL,113
0022100153,11/08/2021,1610612758,SAC,104,1610612756,PHX,109
0022100154,11/08/2021,1610612747,LAL,126,1610612766,CHA,123
0022100155,11/09/2021,1610612755,PHI,109,1610612749,MIL,118
0022100156,11/09/2021,1610612762,UTA,110,1610612737,ATL,98
0022100157,11/09/2021,1610612746,LAC,117,1610612757,POR,109
0022100158,11/10/2021,1610612739,CLE,94,1610612764,WAS,97
0022100159,11/10/2021,1610612753,ORL,90,1610612751,BKN,123
0022100160,11/10/2021,1610612738,BOS,104,1610612761,TOR,88
0022100161,11/10/2021,1610612752,NYK,100,1610612749,MIL,112
0022100162,11/10/2021,1610612745,HOU,104,1610612765,DET,112
0022100163,11/10/2021,1610612741,CHI,117,1610612742,DAL,107
0022100164,11/10/2021,1610612763,MEM,108,1610612766,CHA,118
0022100165,11/10/2021,1610612740,NOP,100,1610612760,OKC,108
0022100166,11/10/2021,1610612759,SAS,136,1610612758,SAC,117
0022100167,11/10/2021,1610612743,DEN,101,1610612754,IND,98
0022100168,11/10/2021,1610612756,PHX,119,1610612757,POR,109
0022100169,11/10/2021,1610612744,GSW,123,1610612750,MIN,110
0022100170,11/10/2021,1610612747,LAL,120,1610612748,MIA,117
0022100171,11/11/2021,1610612755,PHI,109,1610612761,TOR,115
0022100172,11/11/2021,1610612762,UTA,100,1610612754,IND,111
0022100173,11/11/2021,1610612746,LAC,112,1610612748,MIA,109
0022100174,11/12/2021,1610612766,CHA,104,1610612752,NYK,96
0022100175,11/12/2021,1610612738,BOS,122,1610612749,MIL,113
0022100176,11/12/2021,1610612739,CLE,98,1610612765,DET,78
0022100177,11/12/2021,1610612745,HOU,92,1610612757,POR,104
0022100178,11/12/2021,1610612763,MEM,94,1610612756,PHX,119
0022100179,11/12/2021,1610612740,NOP,112,1610612751,BKN,120
0022100180,11/12/2021,1610612760,OKC,105,1610612758,SAC,103
0022100181,11/12/2021,1610612759,SAS,109,1610612742,DAL,123
0022100182,11/12/2021,1610612743,DEN,105,1610612737,ATL,96
0022100183,11/12/2021,1610612744,GSW,119,1610612741,CHI,93
0022100184,11/12/2021,1610612747,LAL,83,1610612750,MIN,107
0022100185,11/13/2021,1610612762,UTA,105,1610612748,MIA,111
0022100186,11/13/2021,1610612754,IND,118,1610612755,PHI,113
0022100187,11/13/2021,1610612753,ORL,92,1610612764,WAS,104
0022100188,11/13/2021,1610612740,NOP,112,1610612763,MEM,101
0022100189,11/13/2021,1610612761,TOR,121,1610612765,DET,127
0022100190,11/13/2021,1610612739,CLE,91,1610612738,BOS,89
0022100191,11/13/2021,1610612746,LAC,129,1610612750,MIN,102
0022100192,11/14/2021,1610612747,LAL,114,1610612759,SAS,106
0022100193,11/14/2021,1610612737,ATL,120,1610612749,MIL,100
0022100194,11/14/2021,1610612766,CHA,106,1610612744,GSW,102
0022100195,11/14/2021,1610612745,HOU,89,1610612756,PHX,115
0022100196,11/14/2021,1610612760,OKC,96,1610612751,BKN,120
0022100197,11/14/2021,1610612743,DEN,124,1610612757,POR,95
0022100198,11/14/2021,1610612746,LAC,90,1610612741,CHI,100
0022100199,11/15/2021,1610612739,CLE,92,1610612738,BOS,98
0022100200,11/15/2021,1610612765,DET,107,1610612758,SAC,129
0022100201,11/15/2021,1610612764,WAS,105,1610612740,NOP,100
0022100202,11/15/2021,1610612737,ATL,129,1610612753,ORL,111
0022100203,11/15/2021,1610612752,NYK,92,1610612754,IND,84
0022100204,11/15/2021,1610612742,DAL,111,1610612743,DEN,101
0022100205,11/15/2021,1610612763,MEM,136,1610612745,HOU,102
0022100206,11/15/2021,1610612750,MIN,96,1610612756,PHX,99
0022100207,11/15/2021,1610612760,OKC,90,1610612748,MIA,103
0022100208,11/15/2021,1610612757,POR,118,1610612761,TOR,113
0022100209,11/15/2021,1610612747,LAL,103,1610612741,CHI,121
0022100210,11/16/2021,1610612751,BKN,99,1610612744,GSW,117
0022100211,11/16/2021,1610612762,UTA,120,1610612755,PHI,85
0022100212,11/16/2021,1610612746,LAC,106,1610612759,SAS,92
0022100213,11/17/2021,1610612766,CHA,97,1610612764,WAS,87
0022100214,11/17/2021,1610612765,DET,97,1610612754,IND,89
0022100215,11/17/2021,1610612737,ATL,110,1610612738,BOS,99
0022100216,11/17/2021,1610612751,BKN,109,1610612739,CLE,99
0022100217,11/17/2021,1610612748,MIA,113,1610612740,NOP,98
0022100218,11/17/2021,1610612752,NYK,98,1610612753,ORL,104
0022100219,11/17/2021,1610612749,MIL,109,1610612747,LAL,102
0022100220,11/17/2021,1610612750,MIN,107,1610612758,SAC,97
0022100221,11/17/2021,1610612760,OKC,101,1610612745,HOU,89
0022100222,11/17/2021,1610612756,PHX,105,1610612742,DAL,98
0022100223,11/17/2021,1610612757,POR,112,1610612741,CHI,107
0022100224,11/18/2021,1610612739,CLE,89,1610612744,GSW,104
0022100225,11/18/2021,1610612748,MIA,112,1610612764,WAS,97
0022100226,11/18/2021,1610612763,MEM,120,1610612746,LAC,108
0022100227,11/18/2021,1610612750,MIN,115,1610612759,SAS,90
0022100228,11/18/2021,1610612743,DEN,89,1610612755,PHI,103
0022100229,11/18/2021,1610612762,UTA,119,1610612761,TOR,103
0022100230,11/19/2021,1610612766,CHA,121,1610612754,IND,118
0022100231,11/19/2021,1610612765,DET,102,1610612744,GSW,105
0022100232,11/19/2021,1610612738,BOS,130,1610612747,LAL,108
0022100233,11/19/2021,1610612751,BKN,115,1610612753,ORL,113
0022100234,11/19/2021,1610612749,MIL,96,1610612760,OKC,89
0022100235,11/19/2021,1610612740,NOP,94,1610612746,LAC,81
0022100236,11/19/2021,1610612743,DEN,108,1610612741,CHI,114
0022100237,11/19/2021,1610612756,PHX,112,1610612742,DAL,104
0022100238,11/19/2021,1610612758,SAC,89,1610612761,TOR,108
0022100239,11/20/2021,1610612752,NYK,106,1610612745,HOU,99
0022100240,11/20/2021,1610612754,IND,111,1610612740,NOP,94
0022100241,11/20/2021,1610612764,WAS,103,1610612748,MIA,100
0022100242,11/20/2021,1610612737,ATL,115,1610612766,CHA,105
0022100243,11/20/2021,1610612738,BOS,111,1610612760,OKC,105
0022100244,11/20/2021,1610612749,MIL,117,1610612753,ORL,108
0022100245,11/20/2021,1610612750,MIN,138,1610612763,MEM,95
0022100246,11/20/2021,1610612757,POR,118,1610612755,PHI,111
0022100247,11/20/2021,1610612758,SAC,105,1610612762,UTA,123
0022100248,11/21/2021,1610612746,LAC,97,1610612742,DAL,91
0022100249,11/21/2021,1610612765,DET,116,1610612747,LAL,121
0022100250,11/21/2021,1610612741,CHI,109,1610612752,NYK,103
0022100251,11/21/2021,1610612756,PHX,126,1610612743,DEN,97
0022100252,11/21/2021,1610612744,GSW,119,1610612761,TOR,104
0022100253,11/22/2021,1610612739,CLE,112,1610612751,BKN,117
0022100254,11/22/2021,1610612764,WAS,103,1610612766,CHA,109
0022100255,11/22/2021,1610612737,ATL,113,1610612760,OKC,101
0022100256,11/22/2021,1610612738,BOS,108,1610612745,HOU,90
0022100257,11/22/2021,1610612741,CHI,77,1610612754,IND,109
0022100258,11/22/2021,1610612749,MIL,123,1610612753,ORL,92
0022100259,11/22/2021,1610612740,NOP,96,1610612750,MIN,110
0022100260,11/22/2021,1610612759,SAS,111,1610612756,PHX,115
0022100261,11/22/2021,1610612762,UTA,118,1610612763,MEM,119
0022100262,11/22/2021,1610612758,SAC,94,1610612755,PHI,102
0022100263,11/23/2021,1610612765,DET,92,1610612748,MIA,100
0022100264,11/23/2021,1610612752,NYK,106,1610612747,LAL,100
0022100265,11/23/2021,1610612757,POR,119,1610612743,DEN,100
0022100266,11/23/2021,1610612746,LAC,104,1610612742,DAL,112
0022100267,11/24/2021,1610612739,CLE,115,1610612756,PHX,120
0022100268,11/24/2021,1610612754,IND,116,1610612747,LAL,124
0022100269,11/24/2021,1610612753,ORL,99,1610612766,CHA,106
0022100270,11/24/2021,1610612738,BOS,104,1610612751,BKN,123
0022100271,11/24/2021,1610612745,HOU,118,1610612741,CHI,113
0022100272,11/24/2021,1610612763,MEM,113,1610612761,TOR,126
0022100273,11/24/2021,1610612749,MIL,114,1610612765,DET,93
0022100274,11/24/2021,1610612750,MIN,113,1610612748,MIA,101
0022100275,11/24/2021,1610612740,NOP,127,1610612764,WAS,102
0022100276,11/24/2021,1610612760,OKC,104,1610612762,UTA,110
0022100277,11/24/2021,1610612759,SAS,106,1610612737,ATL,124
0022100278,11/24/2021,1610612744,GSW,116,1610612755,PHI,96
0022100279,11/24/2021,1610612758,SAC,125,1610612757,POR,121
0022100280,11/26/2021,1610612746,LAC,107,1610612765,DET,96
0022100281,11/26/2021,1610612766,CHA,133,1610612750,MIN,115
0022100282,11/26/2021,1610612752,NYK,97,1610612756,PHX,118
0022100283,11/26/2021,1610612753,ORL,88,1610612741,CHI,123
0022100284,11/26/2021,1610612754,IND,114,1610612761,TOR,97
0022100285,11/26/2021,1610612763,MEM,100,1610612737,ATL,132
0022100286,11/26/2021,1610612760,OKC,99,1610612764,WAS,101
0022100287,11/26/2021,1610612759,SAS,96,1610612738,BOS,88
0022100288,11/26/2021,1610612743,DEN,109,1610612749,MIL,120
0022100289,11/26/2021,1610612762,UTA,97,1610612740,NOP,98
0022100290,11/26/2021,1610612744,GSW,118,1610612757,POR,103
0022100291,11/26/2021,1610612747,LAL,137,1610612758,SAC,141
0022100292,11/27/2021,1610612755,PHI,120,1610612750,MIN,121
0022100293,11/27/2021,1610612737,ATL,90,1610612752,NYK,99
0022100294,11/27/2021,1610612751,BKN,107,1610612756,PHX,113
0022100295,11/27/2021,1610612739,CLE,105,1610612753,ORL,92
0022100296,11/27/2021,1610612741,CHI,104,1610612748,MIA,107
0022100297,11/27/2021,1610612745,HOU,146,1610612766,CHA,143
0022100298,11/27/2021,1610612742,DAL,114,1610612764,WAS,120
0022100299,11/27/2021,1610612762,UTA,127,1610612740,NOP,105
0022100300,11/28/2021,1610612746,LAC,90,1610612744,GSW,105
0022100301,11/28/2021,1610612754,IND,100,1610612749,MIL,118
0022100302,11/28/2021,1610612761,TOR,97,1610612738,BOS,109
0022100303,11/28/2021,1610612763,MEM,128,1610612758,SAC,101
0022100304,11/28/2021,1610612747,LAL,110,1610612765,DET,106
0022100305,11/29/2021,1610612755,PHI,101,1610612753,ORL,96
0022100306,11/29/2021,1610612748,MIA,111,1610612743,DEN,120
